Number	GermLayer
0	Ectoderm
1	Mesendoderm
2	Mesendoderm
3	Ectoderm
4	Mesendoderm
5	Ectoderm
6	Ectoderm
7	Mesendoderm
8	Mesendoderm
9	Ectoderm
10	Ectoderm
11	Mesendoderm
12	Mesendoderm
13	Ectoderm
14	Mesendoderm
15	Ectoderm
16	Mesendoderm
17	Ectoderm
18	Ectoderm
19	Mesendoderm
20	Mesendoderm
21	Ectoderm
22	Mesendoderm
23	ExE
24	Ectoderm
25	Mesendoderm
26	Ectoderm
27	Ectoderm
28	Ectoderm
29	ExE
30	Mesendoderm
31	Ectoderm
32	Ectoderm
33	Mesendoderm
34	Ectoderm
35	Ectoderm
36	PGC
37	Ectoderm
38	Mesendoderm
39	Mesendoderm
40	Mesendoderm
41	Ectoderm
42	Mesendoderm
43	ExE
44	Epiblast
45	Epiblast
46	Mesendoderm
47	Mesendoderm
48	Ectoderm
49	ExE
50	ExE
51	ExE
